# Berlekamp #322 deployment ε table (target 128-bit)

Two codim conjectures:
  - codim_opt = 2(D - w'_min - 1)  [Note 0114, distinct-extras case]
  - codim_worst = 2(c - 1)         [Note 0116, shared-extras worst case]
ε bits = codim · log2(|F|), poly factor ignored.

| field | F_b | n_log | ρ | D | c | T | w'_min | codim_opt | ε_opt | codim_w | ε_worst | verdict |
| KoalaBear-ext6 | 186 | 2^20 | 1/8 | 917504 | 3 | 611669 | 458751 | 917504 | 170593453 | 4 | 744 | OK (744b) (worst) |
| KoalaBear-ext6 | 186 | 2^20 | 1/8 | 917504 | 4 | 458751 | 367001 | 1101004 | 204711995 | 6 | 1116 | OK (1116b) (worst) |
| KoalaBear-ext6 | 186 | 2^20 | 1/8 | 917504 | 6 | 305834 | 262143 | 1310720 | 243704933 | 10 | 1859 | OK (1859b) (worst) |
| KoalaBear-ext6 | 186 | 2^20 | 1/8 | 917504 | 9 | 203889 | 183500 | 1468006 | 272949450 | 16 | 2975 | OK (2975b) (worst) |
| KoalaBear-ext6 | 186 | 2^21 | 1/2 | 1048576 | 3 | 699050 | 524287 | 1048576 | 194963946 | 4 | 744 | OK (744b) (worst) |
| KoalaBear-ext6 | 186 | 2^21 | 1/2 | 1048576 | 4 | 524287 | 419430 | 1258290 | 233956512 | 6 | 1116 | OK (1116b) (worst) |
| KoalaBear-ext6 | 186 | 2^21 | 1/2 | 1048576 | 6 | 349525 | 299593 | 1497964 | 278519604 | 10 | 1859 | OK (1859b) (worst) |
| KoalaBear-ext6 | 186 | 2^21 | 1/2 | 1048576 | 9 | 233016 | 209715 | 1677720 | 311942016 | 16 | 2975 | OK (2975b) (worst) |
| KoalaBear-ext6 | 186 | 2^21 | 1/4 | 1572864 | 3 | 1048575 | 786431 | 1572864 | 292445919 | 4 | 744 | OK (744b) (worst) |
| KoalaBear-ext6 | 186 | 2^21 | 1/4 | 1572864 | 4 | 786431 | 629145 | 1887436 | 350934954 | 6 | 1116 | OK (1116b) (worst) |
| KoalaBear-ext6 | 186 | 2^21 | 1/4 | 1572864 | 6 | 524287 | 449389 | 2246948 | 417779778 | 10 | 1859 | OK (1859b) (worst) |
| KoalaBear-ext6 | 186 | 2^21 | 1/4 | 1572864 | 9 | 349525 | 314572 | 2516582 | 467913397 | 16 | 2975 | OK (2975b) (worst) |
| KoalaBear-ext6 | 186 | 2^21 | 1/8 | 1835008 | 3 | 1223338 | 917503 | 1835008 | 341186906 | 4 | 744 | OK (744b) (worst) |
| KoalaBear-ext6 | 186 | 2^21 | 1/8 | 1835008 | 4 | 917503 | 734003 | 2202008 | 409423990 | 6 | 1116 | OK (1116b) (worst) |
| KoalaBear-ext6 | 186 | 2^21 | 1/8 | 1835008 | 6 | 611669 | 524287 | 2621440 | 487409866 | 10 | 1859 | OK (1859b) (worst) |
